Wall time,Step,Value
1756310049.2176635,0,0.043478261679410934
1756310215.6356213,1036,0.0736842080950737
1756310379.3320012,2082,0.062068965286016464
1756310549.7443905,3124,0.056410256773233414
1756310722.04853,4166,0.05000000074505806
1756310894.8202772,5198,0.045614033937454224
1756311061.1143167,6227,0.04491018131375313
1756311227.3548963,7263,0.04285714402794838
1756311383.4993107,8291,0.03142857179045677
1756311555.316331,9337,0.03142857179045677
1756311709.996404,10376,0.03999999910593033
1756311872.001509,11419,0.037142857909202576
1756312042.7474852,12457,0.037142857909202576
1756312214.5738714,13495,0.03999999910593033
1756312382.1809032,14535,0.037142857909202576
1756312548.9520087,15560,0.037142857909202576
1756312717.9592152,16588,0.037142857909202576
1756312889.9941063,17628,0.02857142873108387
1756313061.107928,18666,0.022857142612338066
1756313232.6981251,19713,0.022857142612338066
1756313404.1570864,20753,0.019999999552965164
